code_circonscription;department;numero;communes;simple_form
33004;33;4;33003-33096-33397-33433-33483-33487-33013-33049-33119-33293-33554-33065-33167-33535-33004-33032-33249-33434;true
38001;38;1;38185-38126-38229-38471-38516-38039-38045-38249-38397-38431;false
59010;59;10;59098-59279-59352-59508-59599-59426;false
33007;33;7;33318-33090-33122-33192;true
97701;977;1;;true
98601;986;1;;true
98802;988;2;;true
97101;971;1;97101-97108-97112-97116-97120-97126;true
97102;971;2;97102-97122-97110-97113-97117-97119-97125-97128;true
97103;971;3;97103-97115-97118-97121-97129-97111-97114;true
97104;971;4;97105-97106-97107-97124-97130-97131-97132-97133-97104-97134-97109;true
1001;1;1;01053-01072-01106-01150-01177-01184-01195-01245-01317-01321-01408-01447-01029-01038-01108-01147-01232-01296-01391-01432-01445-01024-01040-01115-01130-01140-01154-01163-01196-01229-01236-01266-01346-01375-01387-01069-01145-01151-01197-01273-01304-01314-01374-01422-01425-01430-01016-01050-01057-01094-01102-01175-01284-01305-01323-01337-01352-01402-01124-01128-01139-01212-01230-01364-01367-01380-01388-01406-01433-01437-01095-01125-01127-01172-01241-01309-01312-01350-01426-01065-01259-01301-01344-01429-01451;false
1002;1;2;01008-01047-01099-01202-01213-01224-01366-01386-01390-01396-01411-01431-01444-01054-01088-01156-01198-01244-01260-01290-01325-01349-01361-01378-01450-01027-01032-01049-01062-01142-01262-01276-01297-01342-01030-01166-01194-01339-01347-01427-01043-01249-01275-01376-01418-01021-01105-01238-01248-01250-01285-01318-01322-01333-01353-01362-01423-01424;true
1003;1;3;01033-01044-01081-01091-01174-01189-01215-01257-01298-01357-01413-01448-01006-01009-01015-01034-01058-01061-01098-01110-01117-01133-01193-01208-01227-01239-01268-01271-01286-01294-01302-01310-01340-01341-01358-01454-01078-01104-01109-01114-01158-01205-01209-01288-01308-01360-01160-01281-01313-01354-01397-01401-01419-01435-01071-01103-01135-01143-01153-01173-01180-01210-01247-01399-01436-01010-01082-01118-01138-01407;true
1004;1;4;01023-01025-01026-01144-01159-01231-01320-01332-01370-01439-01074-01090-01092-01129-01299-01381-01434-01449-01001-01046-01084-01093-01096-01113-01146-01246-01272-01328-01335-01356-01368-01393-01412-01457-01042-01123-01134-01136-01179-01203-01291-01306-01334-01343-01355-01365-01005-01028-01075-01083-01157-01165-01225-01243-01319-01382-01389-01398-01446-01167-01169-01183-01188-01252-01258-01263-01295-01348-01351-01420-01428-01045-01052-01085-01207-01235-01261-01359-01371-01383-01443-01053-01211-01254-01264-01289-01336-01369-01385-01405;false
1005;1;5;01002-01004-01007-01041-01089-01149-01345-01379-01060-01080-01101-01112-01119-01176-01187-01191-01206-01282-01292-01441-01022-01036-01039-01059-01079-01097-01218-01221-01330-01409-01414-01415-01442-01453-01012-01121-01122-01185-01311-01417-01051-01067-01192-01214-01240-01267-01293-01392-01404-01410-01037-01064-01182-01190-01216-01219-01233-01255-01280-01338-01400-01403-01011-01063-01087-01170-01204-01228-01265-01269-01274-01300-01307-01373-01014-01035-01148-01152-01283-01056-01068-01077-01199-01200-01242-01303-01331-01363-01013-01017-01076-01107-01111-01155-01186-01277-01279-01384-01416-01421-01019-01066-01073-01100-01116-01141-01162-01234-01316-01329-01372-01452-01456-01031-01171-01181-01237;true
2001;2;1;02018-02052-02108-02111-02153-02155-02183-02301-02407-02413-02434-02478-02490-02497-02499-02602-02619-02661-02733-02755-02765-02768-02834-02007-02033-02058-02072-02102-02106-02115-02150-02158-02178-02205-02215-02234-02235-02250-02252-02349-02396-02429-02471-02508-02530-02531-02550-02565-02578-02582-02583-02588-02675-02696-02751-02764-02778-02027-02046-02047-02048-02096-02156-02180-02231-02237-02261-02480-02517-02529-02559-02560-02591-02617-02638-02787-02002-02016-02017-02074-02122-02165-02222-02260-02262-02304-02329-02335-02473-02492-02651-02680-02685-02716-02746-02788-02037-02080-02132-02151-02157-02238-02408-02489-02821-02005-02013-02073-02076-02104-02171-02208-02211-02299-02344-02360-02364-02399-02440-02453-02454-02475-02482-02534-02541-02572-02601-02613-02626-02627-02656-02761-02803-02021-02038-02069-02126-02160-02181-02200-02251-02256-02264-02265-02266-02354-02433-02502-02519-02526-02556-02586-02634-02641-02642-02660-02666-02678-02723-02743-02801-02802-02819-02097-02133-02189-02218-02229-02274-02346-02350-02409-02430-02448-02457-02472-02486-02498-02553-02676-02690-02705-02720-02024-02028-02088-02128-02177-02191-02196-02282-02294-02309-02501-02561-02573-02587-02609-02621-02697-02791-02824;true
2002;2;2;02030-02057-02063-02065-02100-02143-02291-02352-02370-02374-02392-02417-02426-02451-02539-02708-02776-02808-02009-02066-02075-02123-02124-02149-02170-02287-02345-02380-02387-02446-02483-02532-02639-02756-02775-02691-02019-02025-02032-02117-02142-02199-02214-02246-02257-02273-02315-02320-02359-02367-02397-02504-02570-02604-02694-02710-02726-02752-02815-02029-02060-02144-02270-02296-02303-02317-02327-02330-02343-02355-02382-02390-02402-02452-02614-02615-02658-02702-02747-02772-02774-02782-02785-02288-02310-02319-02322-02420-02459-02525-02571-02637-02659-02340-02371-02383-02481-02549;true
2003;2;3;02020-02031-02055-02079-02204-02388-02391-02405-02425-02435-02470-02522-02674-02061-02095-02112-02240-02293-02323-02334-02500-02511-02618-02635-02703-02709-02135-02141-02188-02197-02244-02276-02284-02295-02312-02324-02337-02342-02418-02445-02584-02650-02725-02728-02006-02035-02070-02313-02361-02376-02386-02414-02422-02450-02455-02469-02494-02563-02624-02625-02654-02757-02814-02130-02134-02275-02278-02378-02381-02495-02544-02567-02574-02684-02831-02833-02004-02039-02101-02169-02194-02248-02283-02338-02353-02460-02468-02493-02513-02516-02545-02600-02689-02727-02737-02742-02745-02790-02827-02050-02067-02103-02269-02286-02308-02419-02548-02558-02184-02306-02503-02552-02575-02592-02605-02636-02640-02648-02717-02721-02732-02741-02813-02068-02182-02206-02331-02379-02385-02403-02416-02463-02491-02547-02629-02657-02668-02681-02688-02731-02823-02832-02040-02044-02109-02116-02136-02321-02341-02357-02369-02373-02377-02384-02401-02404-02444-02535-02608-02623-02652-02670-02740-02759-02789-02826-02298-02358-02366-02476-02488-02569-02647-02683-02753-02760-02769-02779-02783-02784-02830;true
2004;2;4;02001-02014-02041-02056-02081-02139-02145-02173-02207-02212-02336-02362-02461-02542-02546-02566-02719-02754-02807-02820-02034-02049-02078-02086-02093-02107-02140-02159-02217-02219-02236-02318-02333-02363-02395-02406-02423-02456-02599-02616-02631-02632-02671-02686-02704-02707-02750-02762-02786-02175-02243-02245-02398-02424-02593-02610-02722-02767-02780-02805-02011-02043-02071-02087-02201-02253-02254-02267-02277-02326-02415-02514-02527-02528-02562-02576-02598-02643-02667-02672-02673-02687-02736-02793-02795-02064-02077-02089-02226-02477-02485-02564-02607-02706-02770-02059-02431-02474-02738;true
2005;2;5;02003-02036-02054-02091-02110-02120-02129-02152-02167-02179-02195-02224-02230-02255-02263-02348-02393-02421-02427-02432-02439-02479-02520-02523-02581-02597-02620-02633-02646-02682-02695-02711-02714-02715-02735-02763-02771-02773-02797-02811-02817-02084-02162-02163-02186-02221-02242-02268-02281-02289-02443-02505-02521-02555-02596-02653-02701-02777-02798-02818-02042-02062-02085-02094-02098-02105-02114-02168-02187-02279-02280-02290-02292-02297-02328-02347-02465-02524-02540-02554-02781-02026-02051-02053-02146-02147-02161-02166-02209-02213-02223-02228-02239-02325-02389-02458-02484-02510-02515-02518-02590-02595-02645-02664-02669-02677-02748-02800-02083-02119-02127-02164-02193-02203-02220-02227-02271-02305-02332-02351-02442-02462-02538-02655-02699-02712-02713-02794-02806-02809-02816-02023-02099-02125-02137-02185-02192-02225-02241-02258-02307-02339-02356-02375-02411-02428-02449-02466-02467-02496-02509-02512-02543-02594-02622-02649-02662-02679-02718-02724-02744-02749-02792-02796-02012-02022-02082-02090-02121-02138-02154-02172-02233-02249-02272-02372-02412-02447-02507-02533-02536-02579-02580-02585-02606-02663-02665-02693-02799-02804-02008-02010-02118-02131-02148-02174-02176-02190-02198-02210-02311-02400-02464-02487-02537-02551-02577-02589-02612-02698-02730-02739-02758-02766-02828-02829-02015-02216-02232-02259-02302-02316-02368-02410-02438-02441-02506-02557-02568-02628-02644-02729-02734-02810-02812-02822;true
3001;3;1;03036-03046-03117-03218-03238-03251-03312-03320-03016-03053-03059-03062-03075-03096-03112-03115-03116-03175-03237-03277-03278-03294-03319-03019-03057-03074-03076-03119-03120-03156-03203-03245-03283-03086-03100-03102-03173-03177-03207-03253-03265-03300-03064-03087-03090-03146-03155-03198-03210-03241-03309-03065-03069-03092-03099-03169-03183-03214-03260-03281-03287-03292-03040-03190-03286-03009-03013-03015-03085-03184-03200-03025-03054-03114-03124-03171-03180-03197-03234-03263-03018-03038-03049-03083-03134-03148-03149-03160-03176-03188-03204-03254-03267-03307-03002-03012-03026-03039-03073-03122-03162-03170-03202-03247-03275-03029-03034-03091-03137-03157-03179-03187-03215-03232-03235-03236-03242-03266-03273-03298-03011-03121-03229-03290-03316-03321;true
3002;3;2;03003-03037-03048-03130-03143-03168-03221-03282-03293-03296-03313-03318-03081-03082-03129-03159-03022-03077-03078-03089-03107-03108-03135-03152-03192-03194-03276-03295-03302-03311-03010-03031-03041-03084-03111-03123-03127-03150-03153-03158-03193-03213-03222-03269-03285-03297-03303-03005-03051-03055-03072-03088-03128-03172-03225-03228-03246-03249-03259-03288-03317-03007-03047-03106-03161-03167-03206-03216-03231-03233-03244-03261-03280-03314-03052-03097-03098-03185-03217-03305-03136-03211-03212-03020-03027-03032-03058-03070-03104-03151-03186-03189-03191-03219-03243-03256-03270-03308-03315-03262-03301-03140-03145-03195-03279-03101;true
3003;3;3;03033-03093-03094-03095-03014-03035-03063-03103-03142-03147-03154-03178-03181-03196-03208-03226-03239-03023-03043-03044-03060-03080-03109-03110-03126-03227-03252-03258-03271-03304-03021-03030-03061-03118-03133-03164-03166-03182-03209-03220-03255-03268-03024-03067-03071-03079-03132-03144-03240-03274-03284-03289-03291-03299-03004-03006-03017-03028-03042-03068-03105-03131-03138-03205-03223-03230-03250-03257-03272-03008-03050-03066-03113-03125-03139-03141-03165-03201-03224-03248-03310-03001-03045-03056-03163-03174-03264-03306;true
4001;4;1;04008-04032-04090-04115-04174-04224-04236-04022-04030-04055-04059-04180-04187-04204-04214-04039-04069-04092-04148-04171-04183-04210-04006-04025-04061-04218-04219-04240-04070-04074-04113-04167-04042-04043-04076-04170-04194-04202-04009-04024-04036-04072-04097-04155-04041-04077-04108-04116-04143-04156-04028-04031-04054-04084-04107-04121-04181-04182-04135-04144-04184-04034-04091-04106-04149-04004-04081-04124-04157-04158-04166-04172-04176-04186-04005-04007-04099-04133-04136-04173-04035-04094-04189-04230-04013-04049-04053-04079-04127-04145-04200-04211-04244-04001-04021-04040-04046-04047-04110-04122-04177-04217;true
4002;4;2;04018-04095-04132-04159-04162-04163-04169-04201-04208-04019-04062-04073-04086-04096-04100-04120-04193-04195-04220-04226-04068-04088-04104-04111-04138-04151-04188-04192-04206-04242-04033-04102-04154-04161-04198-04112-04190-04245-04037-04050-04057-04058-04066-04118-04134-04137-04207-04216-04228-04231-04233-04027-04051-04067-04139-04140-04199-04229-04012-04045-04129-04142-04160-04175-04227-04241-04065-04087-04101-04109-04130-04141-04164-04178-04017-04020-04126-04191-04203-04205-04235-04237-04016-04075-04123-04179-04209-04023-04026-04085-04093-04150-04222-04234-04063-04197-04128-04152;true
5001;5;1;05008-05010-05019-05055-05066-05080-05146-05154-05013-05049-05184-05011-05017-05018-05084-05113-05124-05140-05176-05059-05061-05075-05100-05112-05123-05053-05070-05073-05078-05103-05173-05178-05051-05069-05094-05097-05135-05159-05172-05005-05014-05034-05047-05118-05155-05160-05024-05033-05086-05091-05117-05126-05129-05150-05169-05002-05042-05138-05139-05016-05021-05048-05076-05081-05088-05089-05102-05143-05165-05166-05167-05037-05057-05068-05071-05074-05092-05162-05168-05170-05028-05035-05060-05087-05099-05131-05158-05179;true
5002;5;2;05001-05003-05007-05038-05077-05120-05157-05006-05031-05058-05101-05110-05122-05151-05175-05180-05023-05085-05093-05174-05022-05040-05050-05106-05115-05121-05127-05171-05012-05036-05044-05045-05046-05098-05128-05156-05063-05181-05026-05052-05065-05082-05116-05119-05134-05136-05177-05079-05133-05161-05032-05096-05145-05004-05020-05025-05029-05043-05054-05056-05067-05072-05090-05095-05104-05132-05141-05147-05148-05149-05153-05009-05039-05062-05064-05142-05144-05152-05182-05108-05111-05114-05130-05163-05164-05027-05107-05109-05183;true
